id|N|Y
1154|0.58233|0.41767
1155|0.78993|0.21007
1156|0.7888|0.2112
1157|0.48939|0.51061
1158|0.64484|0.35516
1159|0.56598|0.43402
1160|0.57754|0.42246
1161|0.78754|0.21246
1162|0.74192|0.25808
1163|0.78065|0.21935
1164|0.77938|0.22062
1165|0.78154|0.21846
1166|0.76581|0.23419
1167|0.78154|0.21846
1168|0.78065|0.21935
1169|0.7888|0.2112
1170|0.76725|0.23275
1171|0.77713|0.22287
1172|0.72519|0.27481
1173|0.77255|0.22745
1174|0.77255|0.22745
1175|0.77255|0.22745
1176|0.77255|0.22745
1177|0.77713|0.22287
1178|0.77713|0.22287
1179|0.77713|0.22287
1180|0.77659|0.22341
1181|0.77255|0.22745
1182|0.77463|0.22537
1183|0.55281|0.44719
1184|0.76847|0.23153
1185|0.77471|0.22529
1186|0.77471|0.22529
1187|0.77471|0.22529
1188|0.48939|0.51061
1189|0.54695|0.45305
1190|0.48939|0.51061
1191|0.77464|0.22536
1192|0.77692|0.22308
1193|0.77464|0.22536
1194|0.78065|0.21935
1195|0.78993|0.21007
1196|0.78065|0.21935
1197|0.7736|0.2264
1198|0.79588|0.20412
1199|0.52944|0.47056
1200|0.78993|0.21007
1201|0.78993|0.21007
1202|0.7658|0.2342
1203|0.78993|0.21007
1204|0.76847|0.23153
1205|0.77463|0.22537
1206|0.52646|0.47354
1207|0.72626|0.27374
1208|0.73219|0.26781
1209|0.71353|0.28647
1210|0.71231|0.28769
1211|0.76199|0.23801
1212|0.77025|0.22975
1213|0.78993|0.21007
1214|0.78993|0.21007
1215|0.78993|0.21007
1216|0.78065|0.21935
1217|0.52676|0.47324
1218|0.76209|0.23791
1219|0.7736|0.2264
1220|0.78993|0.21007
1221|0.76518|0.23482
1222|0.78993|0.21007
1223|0.75672|0.24328
1224|0.55281|0.44719
1225|0.77463|0.22537
1226|0.77276|0.22724
1227|0.76333|0.23667
1228|0.55547|0.44453
1229|0.76518|0.23482
1230|0.77464|0.22536
1231|0.49308|0.50692
1232|0.54793|0.45207
1233|0.74192|0.25808
1234|0.78781|0.21219
1235|0.77344|0.22656
1236|0.7888|0.2112
1237|0.73998|0.26002
1238|0.77344|0.22656
1239|0.77344|0.22656
1240|0.7655|0.2345
1241|0.61435|0.38565
1242|0.78154|0.21846
1243|0.78154|0.21846
1244|0.78154|0.21846
1245|0.45769|0.54231
1246|0.78993|0.21007
1247|0.78127|0.21873
1248|0.56911|0.43089
1249|0.76518|0.23482
1250|0.78065|0.21935
1251|0.78993|0.21007
1252|0.76518|0.23482
1253|0.78781|0.21219
1254|0.78154|0.21846
1255|0.78008|0.21992
1256|0.78154|0.21846
1257|0.60851|0.39149
1258|0.44682|0.55318
1259|0.49996|0.50004
1260|0.7655|0.2345
1261|0.52914|0.47086
1262|0.57403|0.42597
1263|0.70272|0.29728
1264|0.64144|0.35856
1265|0.7938|0.2062
1266|0.68713|0.31287
1267|0.66325|0.33675
1268|0.72549|0.27451
1269|0.78993|0.21007
1270|0.7655|0.2345
1271|0.77464|0.22536
1272|0.77464|0.22536
1273|0.78781|0.21219
1274|0.52055|0.47945
1275|0.75638|0.24362
1276|0.73256|0.26744
1277|0.53369|0.46631
1278|0.7658|0.2342
1279|0.77692|0.22308
1280|0.5085|0.4915
1281|0.77463|0.22537
1282|0.76884|0.23116
1283|0.78993|0.21007
1284|0.7888|0.2112
1285|0.78993|0.21007
1286|0.7655|0.2345
1287|0.49272|0.50728
1288|0.7864|0.2136
1289|0.75431|0.24569
1290|0.77344|0.22656
1291|0.57179|0.42821
1292|0.78993|0.21007
1293|0.7888|0.2112
1294|0.78993|0.21007
1295|0.76609|0.23391
1296|0.77344|0.22656
1297|0.77464|0.22536
1298|0.7888|0.2112
1299|0.7655|0.2345
1300|0.77343|0.22657
1301|0.46925|0.53075
1302|0.77935|0.22065
1303|0.78154|0.21846
1304|0.78878|0.21122
1305|0.46925|0.53075
1306|0.5388|0.4612
1307|0.76581|0.23419
1308|0.76581|0.23419
1309|0.7736|0.2264
